frequency_mhz,configuration,block_path,available,passed,raw_phase_bias_deg,common_rotation_deg,relative_phase_bias_deg,gain_error_db,weighted_phase_bias_deg,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db
2475.0,A,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T171600754199Z.json,True,True,"[-0.5508022730345986, -0.15578384170363374, -0.006476011271102068, -1.2352844722594623, -0.425798052269147, 0.33595698799425827]",-0.6338043184493419,"[0.08300204541474336, 0.47802047674570824, 0.6273283071782398, -0.6014801538101202, 0.20800626618019497, 0.9697613064436003]","[-0.128281525128524, -0.4520940671709783, 0.11405942551882248, 0.5926332779989664, -0.3827680219713953, 0.05851783059804283]",0.3885346137174857,0.9697613064436003,0.5926332779989664
5811.0,A,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T222235133339Z.json,True,True,"[-4.3638369191723925, -0.2150040122025446, -0.6802095748421192, 2.626052915370767, -1.5306065742079384, -1.5172200734717525]",-0.31090769265205676,"[-4.052929226520336, 0.09590368044951217, -0.36930188219006244, 2.9369606080228237, -1.2196988815558818, -1.206312380819696]","[-0.6220200195986645, 0.2813922253135479, -0.09940560270875037, 0.24262360293270543, 0.20515784404898085, -0.10255270518558751]",1.3737797550545907,4.052929226520336,0.6220200195986645
5811.0,A,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T223136472639Z.json,False,False,,,,,,,
5811.0,B,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T223136472639Z.json,True,True,"[2.4119344835759717, 2.1850514327084847, -0.4214595040739924, 2.5534421595152663, 0.8286360024027156, -2.3334880007805263]",1.3942464425911383,"[1.017688040984833, 0.7908049901173461, -1.8157059466651309, 1.1591957169241278, -0.5656104401884227, -3.727734443371665]","[0.9737667824516685, -0.08167206055005989, -0.12149156256591756, 0.0520075292274012, 0.38879755439271585, 0.12603482389589368]",1.353272464298364,3.727734443371665,0.9737667824516685
5811.0,A,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T224532349585Z.json,True,True,"[2.0294596397469227, 0.9514682093720759, -1.9004259539332085, -1.125492133937599, 1.526690331280181, -1.2189421404080683]",0.3429617089491772,"[1.6864979307977452, 0.6085065004228986, -2.2433876628823852, -1.4684538428867762, 1.1837286223310037, -1.5619038493572455]","[-0.8721771703393989, -0.03886903188078392, -0.032292599843949096, 0.2839877890588762, -0.11633148134606255, -0.06645673667057889]",1.238750838425695,2.2433876628823852,0.8721771703393989
5811.0,D,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T224532349585Z.json,True,True,"[2.851676096947574, -0.14996275195326567, -2.0293903086725047, -3.3660863083751567, 0.7009783462130343, 1.3291041705447788]",-0.4527297615268731,"[3.3044058584744467, 0.3027670095736074, -1.5766605471456319, -2.913356546848284, 1.1537081077399076, 1.7818339320716519]","[-0.5467689157225784, -0.06677261673188005, 0.32607801886257315, -0.24937606570814197, -0.21072610957128263, -0.10140878885468904]",1.4474928132677138,3.3044058584744467,0.5467689157225784
2475.0,A,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/block-20260908T225855806955Z.json,True,True,"[-1.299609300776562, -0.12492109267173576, -0.41162582009747706, -0.4552871371292401, 0.03559138396752729, 0.4194311548081078]",-0.8343964069219791,"[-0.46521289385458303, 0.7094753142502433, 0.42277058682450197, 0.37910926979273896, 0.8699877908895064, 1.2538275617300867]","[-0.019805660034478687, 0.03187864407244603, 0.004231780238786905, -0.14566150250185655, 0.06305141608614098, -0.14731535491062836]",0.49665253663814063,0.8699877908895064,0.14566150250185655
